stage,sample_id,H2O_min_wt%,H2O_max_wt%,F_ppm,Cl_ppm,Br_ppb,I_ppb
HP eclogite,UH9,0.5,2,230,44,117,3
HP eclogite,UH10,0.5,2,244,19,28,8
HP eclogite,D102833,0.5,2,277,35,145,45
HP eclogite,D102834,0.5,2,344,36,173,5
HP eclogite,D102837,0.5,2,238,45,136,15
HP eclogite,W172692,0.5,2,269,30,40,2
HP eclogite,W172693,0.5,2,283,17,87,41
HP eclogite,W251387,0.5,2,170,29,96,13
HP eclogite,W251388,0.5,2,152,11,52,14
HP eclogite,W251389,0.5,2,183,11,39,15
HP eclogite,W251396,0.5,2,161,19,34,91
HP eclogite,W251398,0.5,2,166,15,69,18
HP eclogite,W251547,0.5,2,165,20,72,11
HP eclogite,W251548,0.5,2,156,14,86,16
HP eclogite,W256351,0.5,2,162,23,52,17
HP eclogite,W256353,0.5,2,147,29,47,10
HP eclogite,W256354,0.5,2,183,22,78,3
HP eclogite,W256357,0.5,2,153,20,61,16
HP eclogite,W256358,0.5,2,129,28,43,30
HP eclogite,W256361,0.5,2,136,14,85,46
HP eclogite,W256370,0.5,2,369,24,89,3
HP eclogite,W256375,0.5,2,179,15,142,29
HP eclogite,M142382,0.5,2,211,31,50,33
HP eclogite,D320168,0.5,2,324,32,23,3
HP eclogite,M124612,0.5,2,227,51,85,38
HP eclogite,M124613,0.5,2,275,29,52,20
HP eclogite,M152953,0.5,2,268,33,51,4
HP eclogite,M190585,0.5,2,78,13,56,41
HP eclogite,M190586,0.5,2,257,29,113,71
HP eclogite,M114944,0.5,2,267,36,41,31
HP eclogite,1856,0.5,2,116,17,68,47
HP eclogite,1858/3,0.5,2,178,25,94,49
HP eclogite,Mar-59,0.5,2,158,10,93,52
HP eclogite,TN-5/05,0.5,2,166,14,85,53
HP eclogite,TN-9/08B,0.5,2,178,35,109,41
HP eclogite,TS-1/11,0.5,2,132,20,114,77
HP eclogite,TS-2/11,0.5,2,107,20,81,89
HP eclogite,TS-3/11,0.5,2,145,29,72,68
HP eclogite,TS-4/11,0.5,2,120,36,95,59
HP eclogite,TS-5/11,0.5,2,160,31,73,56
HP eclogite,TS-6/11,0.5,2,69,25,70,23
HP eclogite,TS-7/11,0.5,2,69,37,93,24
HP eclogite,TS-8/11,0.5,2,152,33,78,17
HP eclogite,10月16日,0.5,2,202,61,156,47
HP eclogite,6月18日,0.5,2,188,38,160,54
HP eclogite,12月16日,0.5,2,174,56,153,46
HP eclogite,2月24日,0.5,2,220,42,160,47
HP eclogite,11月16日,0.5,2,217,59,153,49
HP eclogite,7月1日,0.5,2,352,44,124,31
HP eclogite,1月17日,0.5,2,183,40,119,54
HP eclogite,5-37,0.5,2,113,35,130,53
HP eclogite,5-38,0.5,2,231,55,161,51
HP eclogite,100-2,0.5,2,193,40,152,56
HP eclogite,SCO1-1,0.5,2,63,26,101,57
HP eclogite,SCO2-1,0.5,2,168,10,47,52
HP eclogite,SCO9-2,0.5,2,60,20,45,105
HP eclogite,SCO12-4,0.5,2,76,10,65,87
HP eclogite,SCO23-1,0.5,2,62,17,64,44
HP eclogite,SCO18-1,0.5,2,157,15,61,87
HP eclogite,SCO15-1,0.5,2,57,14,32,45
HP eclogite,SCO16-1,0.5,2,57,7,59,29
HP eclogite,69965,0.5,2,240,22,117,3
HP eclogite,BO-126,0.5,2,265,25,52,4
HP eclogite,W260033,0.5,2,213,29,73,16
HP eclogite,W260034,0.5,2,203,30,88,16
HP eclogite,W260035,0.5,2,199,26,78,17
HP eclogite,W260036,0.5,2,106,11,85,64
HP eclogite,W260037,0.5,2,101,9,114,63
HP eclogite,W260038,0.5,2,393,25,107,17
HP eclogite,W260039,0.5,2,205,24,67,25
HP eclogite,W260040,0.5,2,342,29,74,27
HP eclogite,W260041,0.5,2,100,15,73,28
HP eclogite,W260042,0.5,2,101,8,67,90
HP eclogite,W260043,0.5,2,157,11,53,87
